species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Fimbristylis recta,Kern in Fl Malesiana (1972),2,1.5,New Guinea
Fimbristylis rigidula,Kern in Fl Malesiana (1972),1.5,1.1,Philippines
Fimbristylis salbundia,Kern in Fl Malesiana (1972),0.9,0.6,Sumatra
Fimbristylis salbundia,Kern in Fl Malesiana (1972),0.9,0.6,Philippines
Fimbristylis salbundia,Kern in Fl Malesiana (1972),0.9,0.6,Sulawesi
Fimbristylis salbundia,Kern in Fl Malesiana (1972),0.9,0.6,New Guinea
Fimbristylis scaberrima,Kern in Fl Malesiana (1972),0.8,0.5,Sumatra
Fimbristylis scaberrima,Kern in Fl Malesiana (1972),0.8,0.5,Java
Fimbristylis scaberrima,Kern in Fl Malesiana (1972),0.8,0.5,Borneo
Fimbristylis schoenoides,Kern in Fl Malesiana (1972),1.4,1,Sumatra
Fimbristylis schoenoides,Kern in Fl Malesiana (1972),1.4,1,Java
Fimbristylis schoenoides,Kern in Fl Malesiana (1972),1.4,1,Lesser Sundas
Fimbristylis schoenoides,Kern in Fl Malesiana (1972),1.4,1,Borneo
Fimbristylis schoenoides,Kern in Fl Malesiana (1972),1.4,1,Philippines
Fimbristylis schultzii,Kern in Fl Malesiana (1972),1,0.5,Lesser Sundas
Fimbristylis semarangensis,Kern in Fl Malesiana (1972),0.75,0.6,Java
Fimbristylis sericea,Kern in Fl Malesiana (1972),1.3,0.8,Java
Fimbristylis sericea,Kern in Fl Malesiana (1972),1.3,0.8,Borneo
Fimbristylis signata,Kern in Fl Malesiana (1972),1.25,1,Philippines
Fimbristylis signata,Kern in Fl Malesiana (1972),1.25,1,New Guinea
Fimbristylis squarrosa,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),0.75,0.5,Sumatra
Fimbristylis squarrosa,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),0.75,0.5,Java
Fimbristylis squarrosa,Kern in Fl Malesiana (1972)_Hoenselaar et al. (2010),0.75,0.5,Philippines
Fimbristylis subalata,Kern in Fl Malesiana (1972),2,1.2,New Guinea
Fimbristylis subdura,Kern in Fl Malesiana (1972),0.7,0.5,Java
Fimbristylis sumbaensis,Kern in Fl Malesiana (1972)_from specimen L.1387718,0.75,0.6,Lesser Sundas
Fimbristylis tenuicula,Kern in Fl Malesiana (1972),1,0.6,Sumatra
Fimbristylis tenuinervia,Kern in Fl Malesiana (1972),0.9,0.5,Philippines
Fimbristylis tenuinervia,Kern in Fl Malesiana (1972),0.9,0.5,New Guinea
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Sumatra
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Java
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Lesser Sundas
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Borneo
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Philippines
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,Sulawesi
Fimbristylis tetragona,Kern in Fl Malesiana (1972),2,0.5,New Guinea
Fimbristylis thomsonii,Kern in Fl Malesiana (1972),1.5,0.9,Sumatra
Fimbristylis thomsonii,Kern in Fl Malesiana (1972),1.5,0.9,Philippines
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Sumatra
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Java
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Lesser Sundas
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Borneo
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Philippines
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,Sulawesi
Fimbristylis tristachya,Kern in Fl Malesiana (1972),1.5,0.75,New Guinea
Fimbristylis umbellaris,Kern in Fl Malesiana (1972),1,0.6,Java
Fimbristylis umbellaris,Kern in Fl Malesiana (1972),1,0.6,Borneo
Fimbristylis umbellaris,Kern in Fl Malesiana (1972),1,0.6,Philippines
Fimbristylis umbellaris,Kern in Fl Malesiana (1972),1,0.6,Sulawesi
Fimbristylis umbellaris,Kern in Fl Malesiana (1972),1,0.6,New Guinea
Fimbristylis vanoverberghii,Kern in Fl Malesiana (1972),1.1,0.75,Sumatra
Fimbristylis vanoverberghii,Kern in Fl Malesiana (1972),1.1,0.75,Borneo
Fimbristylis vanoverberghii,Kern in Fl Malesiana (1972),1.1,0.75,Philippines
Fimbristylis vanoverberghii,Kern in Fl Malesiana (1972),1.1,0.75,New Guinea
Fimbristylis wetarensis,Kern in Fl Malesiana (1972),1.2,0.83,Lesser Sundas
Daphniphyllum borneense,"Huang, T.C. in Fl Malesiana (1997)_Trans. Linn. Soc. London, Bot. 4(2): 224 (1894)",12,5,Borneo
Daphniphyllum buchananiifolium,"Huang, T.C. in Fl Malesiana (1997)",15,6,Philippines
Daphniphyllum ceramense,"Huang, T.C. in Fl Malesiana (1997)",13,7,Maluku
Daphniphyllum dichotomum,"Huang, T.C. in Fl Malesiana (1997)",7,6,Borneo
Daphniphyllum gracile,"Huang, T.C. in Fl Malesiana (1997)",11,5,Sulawesi
Daphniphyllum gracile,"Huang, T.C. in Fl Malesiana (1997)",11,5,New Guinea
Daphniphyllum luzonense,Leafl. Philipp. Bot. i. 309 (1908),15,15,Philippines
Daphniphyllum papuanum,"Huang, T.C. in Fl Malesiana (1997)",10,7,New Guinea
Daphniphyllum parvifolium,"Huang, T.C. in Fl Malesiana (1997)",12,4,Philippines
Daphniphyllum sumatraense,"Huang, T.C. in Fl Malesiana (1997)",7,4,Sumatra
Daphniphyllum timorianum,"Huang, T.C. in Fl Malesiana (1997)",12,6,Lesser Sundas
Daphniphyllum woodsonianum,"Huang, T.C. in Fl Malesiana (1997)",8,5,Sumatra
Elaeocarpus acmocarpus,Weibel (1975) Candollea 30_Mark Coode data,35,15,Borneo
Elaeocarpus acmosepalus,Mark Coode data,27,22,Sumatra
Elaeocarpus acrantherus,Mark Coode data,35,27,Borneo
Elaeocarpus acronodia,Coode (1996) Kew Bull. 51(2)_Mark Coode data,13,10,Sumatra
Elaeocarpus acronodia,Coode (1996) Kew Bull. 51(2)_Mark Coode data,13,10,Java
Elaeocarpus acronodia,Coode (1996) Kew Bull. 51(2)_Mark Coode data,13,10,Lesser Sundas
Elaeocarpus acronodia,Coode (1996) Kew Bull. 51(2)_Mark Coode data,13,10,Borneo
Elaeocarpus altigenus,Mark Coode data,12,8,New Guinea
Elaeocarpus altisectus,Coode (1977) Brunonia 1_Mark Coode data,29,22,New Guinea
Elaeocarpus amabilis,Mark Coode data,13,6,New Guinea
Elaeocarpus amplifolius,Coode (1977) Brunonia 1_Mark Coode data,55,50,New Guinea
Elaeocarpus angustifolius,Mark Coode data,20,10,Sumatra
Elaeocarpus angustifolius,Mark Coode data,20,10,Java
Elaeocarpus angustifolius,Mark Coode data,20,10,Lesser Sundas
Elaeocarpus angustifolius,Mark Coode data,20,10,Borneo
Elaeocarpus angustifolius,Mark Coode data,20,10,Philippines
Elaeocarpus angustifolius,Mark Coode data,20,10,Sulawesi
Elaeocarpus angustifolius,Mark Coode data,20,10,Maluku
Elaeocarpus angustifolius,Mark Coode data,20,10,New Guinea
Elaeocarpus angustipes,Mark Coode data,16,14,Borneo
Elaeocarpus argenteus,Mark Coode data,10,8,Philippines
Elaeocarpus arnhemicus,Mark Coode data,14,10,New Guinea
Elaeocarpus arnhemicus,Mark Coode data,14,10,Java
Elaeocarpus arnhemicus,Mark Coode data,14,10,Lesser Sundas
Elaeocarpus arnhemicus,Mark Coode data,14,10,Sulawesi
Elaeocarpus avium,Mark Coode data,38,25,New Guinea
Elaeocarpus bakaianus,Coode (1977) Brunonia 1_Mark Coode data,45,35,New Guinea
Elaeocarpus balgooyi,Mark Coode data,8,6,Sulawesi
Elaeocarpus baramii,Weibel (1975) Candollea 30_Mark Coode data,38,17,Borneo
Elaeocarpus barbulatus,Mark Coode data,28,12,Borneo
Elaeocarpus batjanicus,Repert. Spec. Nov. Regni Veg. 49: 68 (1940),15,15,Maluku
Elaeocarpus batudulangii,Weibel (1980) Candollea 35_Mark Coode data,25,12,Lesser Sundas
Elaeocarpus beccarii,Mark Coode data,30,25,Borneo
Elaeocarpus bilobatus,Coode (1977) Brunonia 1_Mark Coode data,8,5,New Guinea
Elaeocarpus blepharoceras,Mark Coode data,40,20,New Guinea
Elaeocarpus branderhorstii,Mark Coode data,11,9,New Guinea
Elaeocarpus brigittae,Mark Coode data,60,45,Sumatra
Elaeocarpus brunneotomentosus,Weibel (1980) Candollea 35_Mark Coode data,25,15,Lesser Sundas
Elaeocarpus brunnescens,Mark Coode data,22,16,Borneo
Elaeocarpus brunnescens,Mark Coode data,22,16,Philippines
Elaeocarpus celebicus,Mark Coode data,50,25,Sulawesi
Elaeocarpus chewii,Coode (1998) Kew Bull. 53,30,20,Borneo
Elaeocarpus chrysophyllus,Mark Coode data,10,10,Borneo
Elaeocarpus clementis,Mark Coode data,16,14,Borneo
Elaeocarpus conoideus,Mark Coode data,15,12,Borneo
Elaeocarpus corneri,Weibel (1975) Candollea 30_Mark Coode data,26,20,Borneo
Elaeocarpus cristatus,Mark Coode data,30,30,Borneo
Elaeocarpus culminicola,Mark Coode data,20,10,Philippines
Elaeocarpus culminicola,Mark Coode data,20,10,Sulawesi
Elaeocarpus culminicola,Mark Coode data,20,10,Maluku
Elaeocarpus culminicola,Mark Coode data,20,10,New Guinea
Elaeocarpus cumingii,Mark Coode data,30,22,Borneo
Elaeocarpus cumingii,Mark Coode data,30,22,Philippines
Elaeocarpus cumingii,Mark Coode data,30,22,Sulawesi
Elaeocarpus cupreus,Mark Coode data,13,11,Borneo
Elaeocarpus curranii,Mark Coode data,23,23,Philippines
Elaeocarpus dasycarpus,Mark Coode data,55,30,New Guinea
Elaeocarpus debruynii,Mark Coode data,25,23,New Guinea
Elaeocarpus densiflorus,Mark Coode data,15,10,New Guinea
Elaeocarpus dewildei,Weibel (1980) Candollea 35_Mark Coode data,18,8,Sumatra
Elaeocarpus dictyophlebius,Mark Coode data,16,13,Borneo
Elaeocarpus dinagatensis,J. Arnold Arbor. 32: 162 (1951),20,20,Philippines
Elaeocarpus dolichobotrys,Mark Coode data,40,30,Borneo
Elaeocarpus dolichodactylus,Coode (1977) Brunonia 1_Mark Coode data,70,25,New Guinea
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Sulawesi
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Sumatra
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Java
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Lesser Sundas
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Borneo
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Philippines
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,Maluku
Elaeocarpus dolichostylus,Coode (1977) Brunonia 1_Mark Coode data,22,7,New Guinea
Elaeocarpus elmeri,Mark Coode data,11,8,Philippines
Elaeocarpus erdinii,Coode (2001) Kew Bull. 56,11,10,Sulawesi
Elaeocarpus euneurus,Coode (1996) Kew Bull. 51(2)_Mark Coode data,9,9,Borneo
Elaeocarpus eymae,Coode (1995) Kew Bull. 50(2),10,9,Sulawesi
Elaeocarpus fairchildii,Mark Coode data,45,30,Maluku
Elaeocarpus fairchildii,Mark Coode data,45,30,New Guinea
Elaeocarpus ferrugineus,Coode (1996) Kew Bull. 51(2)_Mark Coode data,19,9,Borneo
Elaeocarpus ferrugineus,Coode (1996) Kew Bull. 51(2)_Mark Coode data,19,9,Sumatra
Elaeocarpus ferrugineus,Coode (1996) Kew Bull. 51(2)_Mark Coode data,19,9,Java
Elaeocarpus ferrugineus,Coode (1996) Kew Bull. 51(2)_Mark Coode data,19,9,Lesser Sundas
Elaeocarpus filiformidentatus,Mark Coode data,12,10,New Guinea
Elaeocarpus floribundus,Mark Coode data,42,20,Sumatra
Elaeocarpus floribundus,Mark Coode data,42,20,Java
Elaeocarpus floribundus,Mark Coode data,42,20,Lesser Sundas
Elaeocarpus floribundus,Mark Coode data,42,20,Borneo
Elaeocarpus floribundus,Mark Coode data,42,20,Philippines
Elaeocarpus floribundus,Mark Coode data,42,20,Sulawesi
Elaeocarpus floridanus,Mark Coode data,16,12,New Guinea
Elaeocarpus forbesii,Mark Coode data,18,13,Philippines
Elaeocarpus foxworthyi,Mark Coode data,40,30,Philippines
Elaeocarpus fulgens,J. Arnold Arbor. 25: 269 (1944),8,6,New Guinea
Elaeocarpus fuscoides,Mark Coode data,16,13,New Guinea
Elaeocarpus gardneri,Mark Coode data,35,35,New Guinea
Elaeocarpus gigantifolius,Mark Coode data,27,20,Philippines
Elaeocarpus glaber,Mark Coode data,35,35,Sumatra
Elaeocarpus glaber,Mark Coode data,35,35,Java
Elaeocarpus glaber,Mark Coode data,35,35,Lesser Sundas
Elaeocarpus glaber,Mark Coode data,35,35,Borneo
Elaeocarpus glaber,Mark Coode data,35,35,Sulawesi
Elaeocarpus glaberrimus,Mark Coode data,15,10,Borneo
Elaeocarpus grandiflorus,Mark Coode data,30,25,Sumatra
Elaeocarpus grandiflorus,Mark Coode data,30,25,Java
Elaeocarpus grandiflorus,Mark Coode data,30,25,Lesser Sundas
Elaeocarpus grandiflorus,Mark Coode data,30,25,Philippines
Elaeocarpus griffithii,Mark Coode data,14,11,Sumatra
Elaeocarpus griffithii,Mark Coode data,14,11,Borneo
Elaeocarpus gustaviifolius,Mark Coode data,37,32,Borneo
Elaeocarpus habbemensis,Mark Coode data,10,8,New Guinea
Elaeocarpus hallieri,Weibel (1975) Candollea 30_Mark Coode data,25,20,Borneo
Elaeocarpus hartleyi,Weibel (1971) Candollea 26(2)_Mark Coode data,18,7,New Guinea
Elaeocarpus harunii,Coode (2001) Kew Bull. 56,11,8,Sulawesi
Elaeocarpus hebecarpus,Bot. Mag. (Tokyo) 56: 318 (1942),7,6,New Guinea
Elaeocarpus heptadactyloides,Weibel (1971) Candollea 26(2)_Mark Coode data,40,25,New Guinea
Elaeocarpus hochreutineri,Weibel (1975) Candollea 30_Mark Coode data,20,17,Borneo
Elaeocarpus ilocanus,Philipp. J. Sci. 14: 418 (1919),25,25,Philippines
Elaeocarpus jacobsii,Coode (1996) Kew Bull. 51(2)_Mark Coode data,16,12,Borneo
Elaeocarpus jugahanus,Mark Coode data,15,10,Borneo
Elaeocarpus kalabitii,Weibel (1980) Candollea 35_Mark Coode data,5,3,Borneo
Elaeocarpus kaniensis,Coode (1977) Brunonia 1_Mark Coode data,30,27,New Guinea
Elaeocarpus kinabaluensis,Mark Coode data,10,10,Borneo
Elaeocarpus kjellbergii,Coode (1996) Kew Bull. 51(1),30,30,Sulawesi
Elaeocarpus knuthii,Mark Coode data,11,8,Borneo
Elaeocarpus kostermansii,Weibel (1975) Candollea 30_Mark Coode data,34,25,Borneo
Elaeocarpus kraengensis,Coode (1995) Kew Bull. 50(2),11,9,Sulawesi
Elaeocarpus lagunensis,Mark Coode data,23,16,Philippines
Elaeocarpus latescens,Mark Coode data,10,10,New Guinea
Elaeocarpus lawasii,Weibel (1975) Candollea 30_Mark Coode data,35,30,Borneo
Elaeocarpus ledermannii,Mark Coode data,13,9,Maluku
Elaeocarpus ledermannii,Mark Coode data,13,9,New Guinea
Elaeocarpus leucanthus,Coode (1977) Brunonia 1_Mark Coode data,55,55,New Guinea
Elaeocarpus lingualis,Mark Coode data,18,11,New Guinea
Elaeocarpus longifolius,Mark Coode data,25,20,Sumatra
Elaeocarpus longifolius,Mark Coode data,25,20,Java
Elaeocarpus longifolius,Mark Coode data,25,20,Lesser Sundas
Elaeocarpus luteolignum,Coode (1995) Kew Bull. 50(2)_Mark Coode data,7,5,Sulawesi
Elaeocarpus luteolus,Mark Coode data,10,8,New Guinea
Elaeocarpus macranthus,Mark Coode data,28,21,Philippines
Elaeocarpus macrocerus,Mark Coode data,35,25,Sumatra
Elaeocarpus macrocerus,Mark Coode data,35,25,Java
Elaeocarpus macrocerus,Mark Coode data,35,25,Lesser Sundas
Elaeocarpus macrocerus,Mark Coode data,35,25,Borneo
Elaeocarpus macrocerus,Mark Coode data,35,25,Philippines
Elaeocarpus macrocerus,Mark Coode data,35,25,Sulawesi
Elaeocarpus macrophyllus,Mark Coode data,80,40,Sumatra
Elaeocarpus macrophyllus,Mark Coode data,80,40,Java
Elaeocarpus macrophyllus,Mark Coode data,80,40,Lesser Sundas
Elaeocarpus macropus,Mark Coode data,18,13,Sulawesi
Elaeocarpus mamasii,Weibel (1980) Candollea 35_Mark Coode data,35,31,Sumatra
Elaeocarpus mandiae,Mark Coode data,23,19,Philippines
Elaeocarpus marafunganus,Coode (1977) Brunonia 1_Mark Coode data,45,12,New Guinea
Elaeocarpus marginatus,Weibel (1975) Candollea 30_Mark Coode data,12,7,Borneo
Elaeocarpus mastersii,Mark Coode data,11,8,Sumatra
Elaeocarpus mastersii,Mark Coode data,11,8,Borneo
Elaeocarpus merrittii,Mark Coode data,12,12,Philippines
Elaeocarpus miegei,Weibel (1971) Candollea 26(2)_Mark Coode data,20,8,New Guinea
Elaeocarpus miegei,Weibel (1971) Candollea 26(2)_Mark Coode data,20,8,Maluku
Elaeocarpus millarii,Weibel (1971) Candollea 26(2)_Mark Coode data,75,40,New Guinea
Elaeocarpus mindoroensis,Repert. Spec. Nov. Regni Veg. 50: 86 (1941),35,20,Philippines
Elaeocarpus miriensis,Weibel (1975) Candollea 30_Mark Coode data,42,42,Borneo
Elaeocarpus mollis,Mark Coode data,20,15,Philippines
Elaeocarpus monocera,Mark Coode data,80,60,Philippines
Elaeocarpus multiflorus,Weibel (1980) Candollea 35_Mark Coode data,17,11,Philippines
Elaeocarpus multiflorus,Weibel (1980) Candollea 35_Mark Coode data,17,11,Sulawesi
Elaeocarpus multiflorus,Weibel (1980) Candollea 35_Mark Coode data,17,11,Maluku
Elaeocarpus multinervosus,Mark Coode data,18,14,Borneo
Elaeocarpus multisectus,Mark Coode data,27,20,New Guinea
Elaeocarpus muluensis,Weibel (1975) Candollea 30_Mark Coode data,7,6,Borneo
Elaeocarpus murudensis,Mark Coode data,18,15,Borneo
Elaeocarpus murudensis,Mark Coode data,18,15,Philippines
Elaeocarpus murukkai,Coode (1977) Brunonia 1_Mark Coode data,60,25,New Guinea
Elaeocarpus musseri,Mark Coode data,20,14,Sulawesi
Elaeocarpus mutabilis,Weibel (1975) Candollea 30_Mark Coode data,45,30,Borneo
Elaeocarpus myrmecophilus,J. Arnold Arbor. 25: 224 (1944)_Mark Coode data,35,30,New Guinea
Elaeocarpus myrtoides,J. Arnold Arbor. 25: 238 (1944)_Mark Coode data,11,10,New Guinea
Elaeocarpus nervosus,Mark Coode data,25,18,Philippines
Elaeocarpus nitidus,Mark Coode data,30,15,Sumatra
Elaeocarpus nitidus,Mark Coode data,30,15,Borneo
Elaeocarpus nouhuysii,Coode (1977) Brunonia 1_Mark Coode data,40,35,New Guinea
Elaeocarpus nouhuysii,Coode (1977) Brunonia 1_Mark Coode data,40,35,Maluku
Elaeocarpus obtusus,Mark Coode data,35,25,Borneo
Elaeocarpus obtusus,Mark Coode data,35,25,Philippines
Elaeocarpus obtusus,Mark Coode data,35,25,Sumatra
Elaeocarpus obtusus,Mark Coode data,35,25,Java
Elaeocarpus obtusus,Mark Coode data,35,25,Lesser Sundas
Elaeocarpus octopetalus,Mark Coode data,13,8,Philippines
Elaeocarpus octopetalus,Mark Coode data,13,8,Sulawesi
Elaeocarpus octopetalus,Mark Coode data,13,8,Maluku
Elaeocarpus octopetalus,Mark Coode data,13,8,Sumatra
Elaeocarpus octopetalus,Mark Coode data,13,8,Java
Elaeocarpus octopetalus,Mark Coode data,13,8,Lesser Sundas
Elaeocarpus oriomensis,Weibel (1971) Candollea 26(2)_Mark Coode data,55,40,New Guinea
Elaeocarpus ornatus,Mark Coode data,30,24,New Guinea
Elaeocarpus pachyanthus,Mark Coode data,7,6,New Guinea
Elaeocarpus pachyanthus,Mark Coode data,7,6,Sumatra
Elaeocarpus pachyanthus,Mark Coode data,7,6,Java
Elaeocarpus pachyanthus,Mark Coode data,7,6,Lesser Sundas
Elaeocarpus pachyanthus,Mark Coode data,7,6,Borneo
Elaeocarpus pachyanthus,Mark Coode data,7,6,Philippines
Elaeocarpus pachyanthus,Mark Coode data,7,6,Sulawesi
Elaeocarpus pachyanthus,Mark Coode data,7,6,Maluku
Elaeocarpus pachyophrys,Mark Coode data,14,10,Borneo
Elaeocarpus pagonensis,Mark Coode data,12,10,Borneo
Elaeocarpus palembanicus,Mark Coode data,15,13,Sumatra
Elaeocarpus palembanicus,Mark Coode data,15,13,Borneo
Elaeocarpus pedunculatus,Mark Coode data,16,10,Sumatra
Elaeocarpus pedunculatus,Mark Coode data,16,10,Borneo
Elaeocarpus pedunculatus,Mark Coode data,16,10,Philippines
Elaeocarpus petiolatus,Mark Coode data,18,13,Sumatra
Elaeocarpus petiolatus,Mark Coode data,18,13,Borneo
Elaeocarpus piestocarpus,Mark Coode data,50,35,New Guinea
Elaeocarpus poculiferus,Mark Coode data,11,9,New Guinea
Elaeocarpus polyanthus,Mark Coode data,33,25,Borneo
Elaeocarpus polydactylus,Coode (1977) Brunonia 1_Mark Coode data,18,6,New Guinea
Elaeocarpus prafiensis,Weibel (1971) Candollea 26(2)_Mark Coode data,45,45,New Guinea
Elaeocarpus pseudopaniculatus,Mark Coode data,14,10,Borneo
Elaeocarpus ptilanthus,Coode (1977) Brunonia 1_Mark Coode data,50,25,New Guinea
Elaeocarpus pullenii,Weibel (1971) Candollea 26(2)_Mark Coode data,55,35,New Guinea
Elaeocarpus purus,Mark Coode data,14,12,Sulawesi
Elaeocarpus pycnanthus,Mark Coode data,13,9,New Guinea
Elaeocarpus renae,Mark Coode data,18,15,Borneo
Elaeocarpus retakensis,Mark Coode data,8,7,Borneo
Elaeocarpus robustus,Coode (1996) Kew Bull. 51(1)_Mark Coode data,60,20,Sumatra
Elaeocarpus roslii,Coode (1996) Kew Bull. 51(1)_Mark Coode data,50,40,Borneo
Elaeocarpus rumphii,Mark Coode data,14,7,Maluku
Elaeocarpus salicifolius,Mark Coode data,21,21,Sumatra
Elaeocarpus sarcanthus,Mark Coode data,13,10,New Guinea
Elaeocarpus sayeri,Mark Coode data,12,8,New Guinea
Elaeocarpus schlechterianus,Mark Coode data,55,40,New Guinea
Elaeocarpus sebastianii,Mark Coode data,40,30,Sulawesi
Elaeocarpus sebastianii,Mark Coode data,40,30,Lesser Sundas
Elaeocarpus sepikanus,Mark Coode data,14,9,New Guinea
Elaeocarpus sericoloides,J. Arnold Arbor. 25: 245. 1944_Coode (1977) Brunonia 1,32,25,New Guinea
Elaeocarpus simaluensis,Coode & Weibel (1994) Kew Bull. 49,25,13,Sumatra
Elaeocarpus steupii,Mark Coode data,11,8,Sulawesi
Elaeocarpus stipularis,Mark Coode data,25,18,Sumatra
Elaeocarpus stipularis,Mark Coode data,25,18,Java
Elaeocarpus stipularis,Mark Coode data,25,18,Lesser Sundas
Elaeocarpus submonoceras,Mark Coode data,35,30,Sumatra
Elaeocarpus tahanensis,Mark Coode data,35,30,Sumatra
Elaeocarpus takolensis,Coode (2001) Kew Bull. 56,13,13,Sulawesi
Elaeocarpus tariensis,Weibel (1971) Candollea 26(2)_Mark Coode data,22,10,New Guinea
Elaeocarpus teysmannii,Mark Coode data,40,20,Sulawesi
Elaeocarpus timorensis,Mark Coode data,16,14,Lesser Sundas
Elaeocarpus trichopetalus,J. Arnold Arbor. 32: 169 (1951),15,13,Philippines
Elaeocarpus trichophyllus,Mark Coode data,13,11,New Guinea
Elaeocarpus triflorus,J. Arnold Arbor. 32: 170 (1951),15,15,Philippines
Elaeocarpus truncatus,Weibel (1975) Candollea 30_Mark Coode data,40,25,Borneo
Elaeocarpus undulatus,Mark Coode data,45,35,New Guinea
Elaeocarpus undulatus,Mark Coode data,45,35,Maluku
Elaeocarpus urophyllus,J. Arnold Arbor. 32: 171 (1951),15,15,Philippines
Elaeocarpus valetonii,Coode (1996) Kew Bull. 51(1)_Mark Coode data,23,18,Sumatra
Elaeocarpus valetonii,Coode (1996) Kew Bull. 51(1)_Mark Coode data,23,18,Borneo
Elaeocarpus validus,Mark Coode data,17,15,Borneo
Elaeocarpus venosus,Mark Coode data,30,25,Philippines
Elaeocarpus verheijenii,Weibel (1980) Candollea 35_Mark Coode data,20,10,Lesser Sundas
Elaeocarpus verruculosus,Mark Coode data,29,22,Philippines
Elaeocarpus versicolor,Leafl. Philipp. Bot. iv. 1178 (1911),25,10,Philippines
Elaeocarpus verticillatus,Mark Coode data,15,12,Philippines
Elaeocarpus whartonensis,Mark Coode data,14,10,New Guinea
Elaeocarpus womersleyi,Weibel (1971) Candollea 26(2)_Mark Coode data,65,35,New Guinea
Elaeocarpus womersleyi,Weibel (1971) Candollea 26(2)_Mark Coode data,65,35,Maluku
Elaeocarpus wrayi,Mark Coode data,27,21,Sumatra
Rhododendron abietifolium,Argent (2015),12,6,Borneo
Rhododendron acrophilum,Argent (2015),35,5,Philippines
Rhododendron acuminatum,Argent (2015),34,4,Borneo
Rhododendron adinophyllum,Argent (2015),11,4,Sumatra
Rhododendron aequabile,Argent (2015),17,6,Sumatra
Rhododendron agathodaemonis,Argent (2015),100,5,New Guinea
Rhododendron alborugosum,Argent (2015),25,4,Borneo
Rhododendron album,Argent (2015),20,4,Java
Rhododendron alternans,Argent (2015),28,5,Sulawesi
Rhododendron alticola,Argent (2015),50,5,New Guinea
Rhododendron anagalliflorum,Argent (2015),15,2,New Guinea
Rhododendron andrineae,Argent (2015),72,7,New Guinea
Rhododendron angiense,Argent (2015),35,4,New Guinea
Rhododendron apiense,Argent (2015),30,8,Borneo
Rhododendron apoanum,Argent (2015),25,3,Philippines
Rhododendron arfakianum,Argent (2015),20,4,New Guinea
Rhododendron asperum,Argent (2015),18,6,New Guinea
Rhododendron atjehense,Sleumer (1960),18,6,Sumatra
Rhododendron atropurpureum,Sleumer (1960) Reinwardtia 5_Argent (2015),25,6,New Guinea
Rhododendron aurigeranum,Argent (2015),100,5,New Guinea
Rhododendron baconii,Argent (2015),14,7,Borneo
Rhododendron baenitzianum,Argent (2015),200,4,New Guinea
Rhododendron bagobonum,Argent (2015),25,3.5,Philippines
Rhododendron bagobonum,Argent (2015),25,3.5,Borneo
Rhododendron bagobonum,Argent (2015),25,3.5,Sulawesi
